title,description,providing_technologies,category,usecase,mitre_tactics,mitre_techniques,killchain,qualified_search
Basic Scanning,"Looks for hosts that reach out to more than 500 hosts, or more than 500 ports in a short period of time, indicating scanning.",['Network Communication'],Scanning,Security Monitoring,['Discovery'],"['Network Service Scanning', 'Remote System Discovery']",['Reconnaissance'],index=* ( (tag=network tag=communicate) OR sourcetype=pan*traffic OR sourcetype=opsec OR sourcetype=cisco:asa) earliest=-1h | stats dc(dest_port) as num_dest_port dc(dest_ip) as num_dest_ip by src_ip | where num_dest_port > 1000 OR num_dest_ip > 1000
Basic TOR Traffic Detection,"The anonymity of TOR makes it the perfect place to hide C&C, exfiltration, or ransomware payment via bitcoin. This example looks for ransomware activity based on FW logs.",['Network Communication'],"Command and Control, Endpoint Compromise, Ransomware",Advanced Threat Detection,"['Exfiltration', 'Command and Control']","['Exfiltration Over C2 Channel', 'Exfiltration Over Alternative Protocol', 'Application Layer Protocol', 'Non-Application Layer Protocol', 'Multi-hop Proxy']",['Command and Control'],index=* ((tag=network tag=communicate) OR (sourcetype=pan*traffic OR sourcetype=opsec OR sourcetype=cisco:asa OR sourcetype=stream*)) app=tor src_ip=* | table _time src_ip src_port dest_ip dest_port bytes app
Brute Force Access Behavior Detected - Against Category,Monitor your security controls and prove your GDPR compliance by detecting brute force (or password guessing) attacks on GDPR-tagged systems.,"['Windows Security', 'Authentication']",GDPR,Compliance,"['Credential Access', 'Privilege Escalation']","['Brute Force', 'Valid Accounts']",[],"index=* (source=""*WinEventLog:Security"" OR sourcetype=linux_secure OR tag=authentication) user=* user!=""""  | stats count(eval(action=""success"")) as successes count(eval(action=""failure"")) as failures by src dest | where successes>0 AND failures>100  | lookup gdpr_system_category host as dest| search category=* "
Brute Force Access Behavior Detected Over One Day - Against Category,Monitor your security controls and prove your GDPR compliance by detecting slow and low brute force (or password guessing) attacks on GDPR-tagged systems that occur gradually over the day.,"['Windows Security', 'Authentication']",GDPR,Compliance,"['Credential Access', 'Privilege Escalation']","['Brute Force', 'Valid Accounts']",[],"index=* (source=""*WinEventLog:Security"" OR sourcetype=linux_secure OR tag=authentication) user=* user!=""""  | stats count(eval(action=""success"")) as successes count(eval(action=""failure"")) as failures by src dest  | where successes>0 AND failures>100  | lookup gdpr_system_category host as dest | search category=* "
Building a Departmental Peer Group,Build a departmental peer group that can be used by the detections in Splunk Security Essentials.,['Windows Security'],"Insider Threat, Compliance","Compliance, Insider Threat",[],[],[],"| ldapsearch domain=splunk.local search=""(&(objectclass=user)(!(objectClass=computer))(department=*))"" attrs=""sAMAccountName,department""| rename sAMAccountName as user | table department user | eventstats values(user) as peergroup by department | eval peergroup=mvjoin(peergroup, "","")| outputlookup myPeerGroup.csv"
Cloud APIs Called More Often Than Usual Per User,"Builds a per-user baseline for how many API calls is normal, and then alerts for deviations.","['Audit Trail', 'GCP', 'Azure', 'AWS']","Account Compromise, IAM Analytics, SaaS",Advanced Threat Detection,['Technical Information Gathering'],['Determine 3rd party infrastructure services'],['Actions on Objectives'],"index=* sourcetype=aws:cloudtrail eventName=ConsoleLogin OR eventName=CreateImage OR eventName=AssociateAddress OR eventName=AttachInternetGateway OR eventName=AttachVolume OR eventName=StartInstances OR eventName=StopInstances OR eventName=UpdateService OR eventName=UpdateLoginProfile | bucket _time span=1d | stats count by user _time| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by user | eval lowerBound=(avg-stdev*2), upperBound=(avg+stdev*2)| where 'count' > upperBound AND num_data_samples >=7"
Cloud Provisioning Activity from Unusual Country,"Looks for IaaS Provisioning activities that occur from new IPs, using GeoIP to resolve the Country.","['Audit Trail', 'GCP', 'Azure', 'AWS']","Account Compromise, IAM Analytics, Account Sharing, SaaS, Insider Threat","Advanced Threat Detection, Insider Threat","['Persistence', 'Privilege Escalation']",['Valid Accounts'],['Actions on Objectives'],"index=* sourcetype=aws:cloudtrail eventName=Create* OR eventName=Run* OR eventName=Attach* |stats count by src eventName | iplocation src| stats earliest(_time) as earliest latest(_time) as latest  by Country, sourcetype | where earliest > relative_time(now(), ""-1d@d"") "
Cloud Provisioning Activity from Unusual IP,Looks for Cloud Provisioning activities that occur from new IPs (for organizations with strict IP controls).,"['Audit Trail', 'GCP', 'Azure', 'AWS']","Account Compromise, IAM Analytics, Account Sharing, SaaS",Advanced Threat Detection,"['Persistence', 'Privilege Escalation']",['Valid Accounts'],['Actions on Objectives'],"index=* sourcetype=aws:cloudtrail eventName=Create* OR eventName=Run* OR eventName=Attach*| stats earliest(_time) as earliest latest(_time) as latest  by src_ip, eventName | where earliest > relative_time(now(), ""-1d@d"") "
Common Filename Launched from New Path,"Simpler malware will hide in plain sight with a filename like explorer.exe, running in the user profile. This detection will look for new paths, for common / expected executables. (MITRE CAR Reference)","['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,['Defense Evasion'],['Masquerading'],"['Installation', 'Actions on Objectives']","index=* source=""*WinEventLog:Security"" EventCode=4688 (svchost.exe New_Process_Name=*svchost.exe) OR (iexplore.exe New_Process_Name=*iexplore.exe) OR (cmd.exe New_Process_Name=*cmd.exe) OR (firefox.exe New_Process_Name=*firefox.exe) OR (explorer.exe New_Process_Name=*explorer.exe) | rex field=New_Process_Name ""^(?<filepath>.*?)(?<filename>[^\\\/]*)$"" | stats earliest(_time) as earliest latest(_time) as latest  by filename, filepath | where earliest > relative_time(now(), ""-1d@d"") "
Concentration of Attacker Tools by Filename,"It's uncommon to see attacker tools used in rapid succession on an endpoint. This search will identify tools by filename, and look for multiple executions. (MITRE CAR Reference)","['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,"Advanced Threat Detection, Security Monitoring","['Discovery', 'Lateral Movement', 'Execution', 'Credential Access', 'Persistence', 'Privilege Escalation', 'Exfiltration', 'Defense Evasion']","['Account Discovery', 'Permission Groups Discovery', 'Process Discovery', 'Remote System Discovery', 'Security Software Discovery', 'System Information Discovery', 'System Network Configuration Discovery', 'System Network Connections Discovery', 'Application Window Discovery', 'System Owner/User Discovery', 'System Service Discovery', 'Query Registry', 'Network Service Scanning', 'Credential Dumping', 'Windows Admin Shares', 'New Service', 'Modify Existing Service', 'Service Registry Permissions Weakness', 'Scheduled Task', 'Service Execution', 'Scheduled Transfer', 'Account Manipulation', 'Disabling Security Tools', 'Indicator Blocking', 'Command-Line Interface']",['Exploitation'],"index=* source=""*WinEventLog:Security"" EventCode=4688 [| inputlookup tools.csv WHERE discovery_or_attack=attack | stats values(filename) as search | format] | transaction host maxpause=5m | where eventcount>=4| fields - _raw closed_txn field_match_sum linecount"
Concentration of Attacker Tools by SHA1 Hash,"It's uncommon to see attacker tools used in rapid succession on an endpoint. This search will identify tools by file hash, and look for multiple executions. (MITRE CAR Reference)",['Endpoint Detection and Response'],Endpoint Compromise,"Advanced Threat Detection, Security Monitoring","['Discovery', 'Lateral Movement', 'Execution', 'Credential Access', 'Privilege Escalation', 'Persistence', 'Exfiltration', 'Defense Evasion']","['Account Discovery', 'Application Window Discovery', 'Permission Groups Discovery', 'Process Discovery', 'Query Registry', 'System Information Discovery', 'System Network Configuration Discovery', 'Security Software Discovery', 'System Service Discovery', 'System Owner/User Discovery', 'System Network Connections Discovery', 'Credential Dumping', 'Windows Admin Shares', 'New Service', 'Modify Existing Service', 'Service Registry Permissions Weakness', 'Service Execution', 'Scheduled Transfer', 'Scheduled Task', 'Disabling Security Tools', 'Account Manipulation', 'Command-Line Interface', 'Indicator Blocking']",['Exploitation'],"index=* sourcetype=""xmlwineventlog:microsoft-windows-sysmon/operational"" EventCode=1  [|inputlookup tools.csv | search discovery_or_attack=attack | stats values(hash) as search | eval search=mvjoin(search, "" OR "")] | transaction host maxpause=5m | where eventcount>=4 | fields - _raw closed_txn field_match_sum linecount"
Concentration of Discovery Tools by Filename,"It's uncommon to see many host discovery tools launched on an endpoint, except in very specific situations. This search will identify tools by filename, and look for many launches. (MITRE CAR Reference)","['Windows Security', 'Endpoint Detection and Response']","Scanning, Endpoint Compromise","Advanced Threat Detection, Security Monitoring",['Discovery'],"['Account Discovery', 'Permission Groups Discovery', 'Process Discovery', 'System Network Configuration Discovery', 'System Owner/User Discovery', 'System Information Discovery', 'System Service Discovery']",['Exploitation'],"index=* source=""*WinEventLog:Security"" EventCode=4688 [|inputlookup tools.csv | search discovery_or_attack=discovery | stats values(filename) as search | eval search=mvjoin(search, "" OR "")] | transaction host maxpause=5m | where mvcount(Image)>=6| fields - _raw closed_txn field_match_sum linecount"
Concentration of Discovery Tools by SHA1 Hash,"It's uncommon to see many discovery tools launched on an endpoint, except in specific situations. This search will identify tools by file hash, and look for several in quick succession. (MITRE CAR Reference)",['Endpoint Detection and Response'],"Scanning, Endpoint Compromise","Advanced Threat Detection, Security Monitoring",['Discovery'],"['Account Discovery', 'Permission Groups Discovery', 'System Network Configuration Discovery', 'System Information Discovery', 'System Owner/User Discovery', 'Process Discovery', 'System Service Discovery']",['Exploitation'],"index=* sourcetype=""xmlwineventlog:microsoft-windows-sysmon/operational"" EventCode=1  [|inputlookup tools.csv | search discovery_or_attack=discovery | stats values(hash) as search | eval search=mvjoin(search, "" OR "")] | transaction host maxpause=5m | where mvcount(Image)>=6 | fields - _raw closed_txn field_match_sum linecount"
Connection to New Domain,Detects when users browse to domains never before seen in your organization.,['Web Proxy'],"Command and Control, Data Exfiltration",Advanced Threat Detection,"['Exfiltration', 'Command and Control']","['Exfiltration Over Command and Control Channel', 'Exfiltration Over Alternative Protocol', 'Standard Application Layer Protocol']",['Actions on Objectives'],"tag=web url=* | eval list=""mozilla"" | `ut_parse_extended(url,list)`| regex ut_domain!=""^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}$""| stats earliest(_time) as earliest latest(_time) as latest  by ut_domain, sourcetype | where earliest > relative_time(now(), ""-1d@d"") "
Credentials In File Detected,"Adversaries may dump credentials into local files using OS Credential Dumping or credentials might have been left in files by mistake. In cloud environments, authenticated user credentials are often stored in local configuration and credential files. This search looks for common credential patterns in log files in Splunk using a list of regexes in a lookup file.",['Any Splunk Logs'],"Compliance, Data Exfiltration","Security Monitoring, Compliance",['Credential Access'],"['Unsecured Credentials', 'Exploitation for Credential Access']",['Actions On Objectives'],
Detect Activity Related To Pass The Hash Attacks,This search looks for specific authentication events from the Windows Security Event logs to detect potential attempts at using the Pass-the-Hash technique.,['Windows Security'],Lateral Movement,Advanced Threat Detection,"['Defense Evasion', 'Lateral Movement']",['Use Alternate Authentication Material'],['Actions On Objectives'],
Detect Computer Changed With Anonymous Account,This search looks for Event Code 4742 (Computer Change) or EventCode 4624 (An account was successfully logged on) with an anonymous account.,['Windows Security'],Adversary Tactics,Security Monitoring,['Lateral Movement'],['Exploitation of Remote Services'],[],
Detect Excessive Account Lockouts From Endpoint,This search identifies endpoints that have caused a relatively high number of account lockouts in a short period.,['Authentication'],Account Compromise,Security Monitoring,"['Defense Evasion', 'Persistence', 'Privilege Escalation', 'Initial Access']",['Valid Accounts'],[],
Detect Excessive User Account Lockouts,This search detects user accounts that have been locked out a relatively high number of times in a short period.,['Authentication'],Account Compromise,Security Monitoring,"['Defense Evasion', 'Persistence', 'Privilege Escalation', 'Initial Access']",['Valid Accounts'],[],
Detect Journal Clearing,This use case looks for the fsutil process clearing the update sequence number (USN) change journal.,"['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,['Defense Evasion'],['Indicator Removal on Host'],['Actions on Objectives'],index=* sourcetype=XmlWinEventLog:Microsoft-Windows-Sysmon/Operational EventCode=1 Image=*fsutil* CommandLine=*usn* CommandLine=*deletejournal* | table _time host Image CommandLine
Detect Large Outbound ICMP Packets,"This search looks for outbound ICMP packets with a packet size larger than 1,000 bytes. Various threat actors have been known to use ICMP as a command and control channel for their attack infrastructure. Large ICMP packets from an endpoint to a remote host may be indicative of this activity.",['Network Communication'],Adversary Tactics,Advanced Threat Detection,[],['Non-Application Layer Protocol'],['Command and Control'],
Detect Lateral Movement With WMI,This use case looks for WMI being used for lateral movement.,"['Windows Security', 'Endpoint Detection and Response']",Lateral Movement,Advanced Threat Detection,"['Lateral Movement', 'Execution']","['Remote Services', 'Windows Management Instrumentation']","['Installation', 'Actions on Objectives']","index=* sourcetype=XmlWinEventLog:Microsoft-Windows-Sysmon/Operational EventCode=1 Image=*wmic* CommandLine=*node* CommandLine=""*process call create*"" | table _time host Image CommandLine"
Detect Log Clearing With wevtutil,This use case looks for the wevutil process clearing the Windows Audit Logs,"['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,['Defense Evasion'],['Indicator Removal on Host'],['Actions on Objectives'],index=* sourcetype=XmlWinEventLog:Microsoft-Windows-Sysmon/Operational EventCode=1 Image=*wevtutil* CommandLine=*cl* (CommandLine=*System* OR CommandLine=*Security* OR CommandLine=*Setup* OR CommandLine=*Application*) | table _time host Image CommandLine
Detect Malicious Requests To Exploit Jboss Servers,"This search is used to detect malicious HTTP requests crafted to exploit jmx-console in JBoss servers. The malicious requests have a long URL length, as the payload is embedded in the URL.",['Network Communication'],Web Attack,Application Security,[],[],['Delivery'],
Detect Many Unauthorized Access Attempts,"Most login failures are due to failed passwords. Login failure to sensitive systems where the users simply aren't authorized, though, can indicate malicious intent. Detect that.","['Authentication', 'Windows Security']",Insider Threat,Insider Threat,['Credential Access'],['Brute Force'],[],"index=* source=""*WinEventLog:Security"" user=* EventCode=* action=failure Logon_Type=* Failure Reason Logon Type Status=0xC000015B"
Detect Mimikatz Via PowerShell And EventCode 4663,This search looks for PowerShell reading lsass memory consistent with credential dumping.,['Windows Security'],Adversary Tactics,Advanced Threat Detection,['Credential Access'],['OS Credential Dumping'],['Actions On Objectives'],
Detect Mimikatz Via Powershell And Eventcode 4703,This search looks for PowerShell requesting privileges consistent with credential dumping.,['Windows Security'],Adversary Tactics,Advanced Threat Detection,['Credential Access'],['OS Credential Dumping'],['Actions On Objectives'],
Detect New Local Admin Account,This search looks for newly created accounts that have been elevated to local administrators.,['Windows Security'],Malware,Security Monitoring,['Persistence'],['Create Account'],"['Actions On Objectives', 'Command and Control']",
Detect Outbound SMB Traffic,This search looks for outbound SMB connections made by hosts within your network to the Internet. SMB traffic is used for Windows file-sharing activity. One of the techniques often used by attackers involves retrieving the credential hash using an SMB request made to a compromised server controlled by the threat actor.,['Network Communication'],Malware,Security Monitoring,[],['Application Layer Protocol'],"['Actions On Objectives', 'Command and Control']",
Detect S3 Access From A New IP,This search looks at S3 bucket-access logs and detects new or previously unseen remote IP addresses that have successfully accessed an S3 bucket.,"['AWS', 'Audit Trail', 'Web Server']","Cloud Security, SaaS",Advanced Threat Detection,['Collection'],['Data from Cloud Storage Object'],['Actions On Objectives'],
Disabled Update Service,"Splunk can detect the status of services, allowing us to find hosts where the Windows Update service is disabled.",['Endpoint Detection and Response'],Endpoint Compromise,Security Monitoring,['Defense Evasion'],['Disabling Security Tools'],[],"index=* (sourcetype=wmi:service OR (source=winhostmon Type=Service) OR (tag=service tag=os))  (tag=update OR Name=wuauserv) StartMode!=Auto | bucket _time span=1d | stats latest(Status) as Status latest(StartMode) as StartMode by _time host Name| stats earliest(_time) as earliest latest(_time) as latest  by StartMode, host | where earliest > relative_time(now(), ""-1d@d"") "
Disabled Update Service,"Splunk can detect the status of services, allowing us to find hosts where the Windows Update service is disabled.",['Endpoint Detection and Response'],Endpoint Compromise,Security Monitoring,['Defense Evasion'],['Disabling Security Tools'],[],"index=* (sourcetype=wmi:service OR (source=winhostmon Type=Service) OR (tag=service tag=os))  (tag=update OR Name=wuauserv) StartMode!=Auto | bucket _time span=1d | stats latest(Status) as Status latest(StartMode) as StartMode by _time host Name| stats earliest(_time) as earliest latest(_time) as latest  by StartMode, host | where earliest > relative_time(now(), ""-1d@d"") "
Email Servers Sending High Volume Traffic To Hosts,This search looks for an increase of data transfers from your email server to your clients. This could be indicative of a malicious actor collecting data using your email server.,['Network Communication'],Adversary Tactics,Advanced Threat Detection,['Collection'],['Email Collection'],['Actions On Objectives'],
Emails from Outside the Organization with Company Domains,"Phishers will often try to send emails where the from address uses your organization's domain name, e.g., emailing finance from yourceo@yourcompany.com. Detect that now!",['Email'],"Endpoint Compromise, SaaS",Advanced Threat Detection,['Initial Access'],['Spearphishing Link'],['Delivery'],"index=* sourcetype=cisco:esa* OR sourcetype=MSExchange*:MessageTracking OR tag=email src_user=* src_ip=* src_user=*@mycompany.com src_ip!=10.0.0.0/8| stats earliest(_time) as earliest latest(_time) as latest  by src_ip, sourcetype | where earliest > relative_time(now(), ""-1d@d"") "
Emails with Lookalike Domains,"Emailing from a domain name that is similar to your own is a common phishing technique, such as splunk.com receiving an email from spiunk.com. This search will detect those similar domains.",['Email'],"Endpoint Compromise, SaaS",Advanced Threat Detection,['Initial Access'],['Spearphishing Link'],['Delivery'],"index=* sourcetype=cisco:esa* OR sourcetype=ms:o365:*:messagetrace OR sourcetype=MSExchange*:MessageTracking OR tag=email src_user=*| stats count by src_user | rex field=src_user ""\@(?<domain_detected>.*)"" | stats sum(count) as count by domain_detected | eval domain_detected=mvfilter(domain_detected!=""mycompany.com"" AND domain_detected!=""company.com"" AND domain_detected!=""mycompanylovestheenvironment.com"") | eval list=""mozilla"" | `ut_parse_extended(domain_detected, list)` | foreach ut_subdomain_level* [eval orig_domain=domain_detected, domain_detected=mvappend(domain_detected, '<<FIELD>>' . ""."" . ut_tld)] | fields orig_domain domain_detected ut_domain count   | eval word1=mvappend(domain_detected, ut_domain), word2 = mvappend(""mycompany.com"", ""company.com"", ""mycompanylovestheenvironment.com"") | lookup ut_levenshtein_lookup word1 word2 | eval ut_levenshtein= min(ut_levenshtein) | where ut_levenshtein < 3 | fields - domain_detected ut_domain | rename orig_domain as top_level_domain_in_incoming_email word1 as domain_names_analyzed word2 as company_domains_used count as num_occurrences ut_levenshtein as Levenshtein_Similarity_Score"
Endpoint Uncleaned Malware Detection,"Detect a system with a malware detection that was not properly cleaned, as they carry a high risk of damage or disclosure of data.",['Anti-Virus or Anti-Malware'],"GDPR, Endpoint Compromise","Security Monitoring, Compliance","['Execution', 'Initial Access']","['User Execution', 'Drive-by Compromise', 'Spearphishing Attachment', 'Spearphishing Link']",[],index=* sourcetype=symantec:ep:*:file  | where Actual_Action!=Requested_Action AND Actual_Action!=Secondary_Action  | table _time Actual_Action Requested_Action Secondary_Action Risk_Name File_Path Computer_Name
Endpoint Uncleaned Malware Detection,"Detect a system with a malware detection that was not properly cleaned, as they carry a high risk of damage or disclosure of data.",['Anti-Virus or Anti-Malware'],"GDPR, Endpoint Compromise","Security Monitoring, Compliance","['Execution', 'Initial Access']","['User Execution', 'Drive-by Compromise', 'Spearphishing Attachment', 'Spearphishing Link']",[],index=* sourcetype=symantec:ep:*:file  | where Actual_Action!=Requested_Action AND Actual_Action!=Secondary_Action  | table _time Actual_Action Requested_Action Secondary_Action Risk_Name File_Path Computer_Name
Expected Host Not Reporting - in Category,"GDPR requires an audit trail for all activities, which means we should be receiving events constantly. Find GDPR-tagged systems that are no longer reporting events but should be.",['Any Splunk Logs'],GDPR,Compliance,[],[],[],| tstats prestats=t count(host) where latest=-2h earliest=-7d index=* groupby host | tstats prestats=t append=t count where earliest=-2h index=* groupby host  | stats count(host) as historical count as current by host | where current=0 AND isnotnull(historical) AND historical>1000 | lookup gdpr_system_category host | search category=*
Extended Period Without Successful Netbackup Backups,This search returns a list of hosts that have not successfully completed a backup in over a week.,['Backup'],Compliance,Compliance,[],[],[],
Fake Windows Processes,"This example finds processes normally run from Windows\System32 or Windows\SysWOW64, running from some other location. This can indicate a malicious process trying to hide as a legitimate process.","['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,['Defense Evasion'],['Masquerading'],['Installation'],"index=* (source=""*WinEventLog:Security"" EventCode=4688 New_Process_Name!=*Windows\\System32* New_Process_Name!=*Windows\\SysWOW64*) OR (sourcetype=XmlWinEventLog:Microsoft-Windows-Sysmon/Operational EventCode=1 Image!=*Windows\\System32* Image!=*Windows\\SysWOW64*) | eval process=coalesce(Image, New_Process_Name)  | rex field=process .*\\\(?<filename>\S+)\s?$ | lookup isWindowsSystemFile_lookup filename | search systemFile=true | table _time dest host user process"
Familiar Filename Launched with New Path on Host,"Processes are typically launched from the same path. When those paths change, it can be a malicious process masquerading as a valid one, to hide in task manager. (MITRE CAR Reference)","['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,['Defense Evasion'],['Masquerading'],"['Installation', 'Actions on Objectives']","index=* source=""*WinEventLog:Security"" EventCode=4688 | rex field=Image ""(?<filename>[^\\\/]*)$"" | eval day=strftime(_time, ""%d/%m/%Y"")  | eventstats dc(day) as days_of_baseline by host | where days_of_baseline>7 | fields - day | eventstats dc(Image) as NumPaths values(Image) as Paths by filename, host | where NumPaths>1| stats earliest(_time) as earliest latest(_time) as latest  by filename, Image | where earliest > relative_time(now(), ""-1d@d"") "
Find Processes with Renamed Executables,"Oftentimes, attackers will execute a temporary file, and rename it to something innocuous (e.g. svchost.exe) to maintain persistence. This search will look for renamed executables. (MITRE CAR Reference)","['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,['Defense Evasion'],['Masquerading'],"['Installation', 'Actions on Objectives']","index=* sourcetype=""xmlwineventlog:microsoft-windows-sysmon/operational"" EventCode=1 | rex field=Image ""[\\\/](?<filename>[^\\\/]*)$"" | eval filename=lower(filename)| stats dc(filename) as NumFilenames values(filename) as Filenames values(Image) as Images by sha1 | where NumFilenames>1"
Find Unusually Long CLI Commands,Oftentimes we're able to detect malware by looking for unusually long command line strings.,['Endpoint Detection and Response'],Endpoint Compromise,"Advanced Threat Detection, Security Monitoring",['Execution'],['Command-Line Interface'],"['Installation', 'Exploitation', 'Actions on Objectives']","index=* sourcetype=""xmlwineventlog:microsoft-windows-sysmon/operational"" EventCode=1  |eval cmdlen=len(CommandLine) | eventstats stdev(cmdlen) as stdev,avg(cmdlen) as avg by host| stats max(cmdlen) as maxlen, values(stdev) as stdevperhost, values(avg) as avgperhost by host,CommandLine | where maxlen>4*stdevperhost+avgperhost"
