Data Source,Sub - Data Source,Data Object,Relationship,Data Object,Event ID,Description,Provider Name,Event Channel,Data Category,Data Sub-Category,Minimun Operating System,GPO,Enable Commands,Client Default,Server Default
Process use of network,process network service connection block,host,blocked_service_connection_to,process,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Filtering Platform Connection,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Filtering Platform Connection,"auditpol.exe /set /subcategory:""Filtering Platform Connection"" /success:enable",No auditing,No auditing
Process use of network,process network listener allow,host,permitted_listener_on,process,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Filtering Platform Connection,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Filtering Platform Connection,"auditpol.exe /set /subcategory:""Filtering Platform Connection"" /success:enable",No auditing,No auditing
Process use of network,process network listener block,host,blocked_listener_on,process,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Filtering Platform Connection,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Filtering Platform Connection,"auditpol.exe /set /subcategory:""Filtering Platform Connection"" /success:enable",No auditing,No auditing
Process use of network,process network connection allow,host,permitted_inbound_connection_on,process,5156,The Windows Filtering Platform has permitted a connection.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Filtering Platform Connection,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Filtering Platform Connection,"auditpol.exe /set /subcategory:""Filtering Platform Connection"" /success:enable",No auditing,No auditing
Process use of network,process network connection allow,process,connected_from,ip,5156,The Windows Filtering Platform has permitted a connection.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Filtering Platform Connection,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Filtering Platform Connection,"auditpol.exe /set /subcategory:""Filtering Platform Connection"" /success:enable",No auditing,No auditing
Process use of network,process network connection allow,host,permitted_outbound_connection_on,process,5156,The Windows Filtering Platform has permitted a connection.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Filtering Platform Connection,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Filtering Platform Connection,"auditpol.exe /set /subcategory:""Filtering Platform Connection"" /success:enable",No auditing,No auditing
Process use of network,process network connection allow,process,connected_to,ip,5156,The Windows Filtering Platform has permitted a connection.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Filtering Platform Connection,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Filtering Platform Connection,"auditpol.exe /set /subcategory:""Filtering Platform Connection"" /success:enable",No auditing,No auditing
Process use of network,process network connection block,host,blocked_inbound_connection_on,process,5157,The Windows Filtering Platform has blocked a connection.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Filtering Platform Connection,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Filtering Platform Connection,"auditpol.exe /set /subcategory:""Filtering Platform Connection"" /success:enable",No auditing,No auditing
Process use of network,process network connection block,host,blocked_outbound_connection_on,process,5157,The Windows Filtering Platform has blocked a connection.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Filtering Platform Connection,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Filtering Platform Connection,"auditpol.exe /set /subcategory:""Filtering Platform Connection"" /success:enable",No auditing,No auditing
Process use of network,process network local port bind allow,host,permitted_local_port_bind_on,process,5158,The Windows Filtering Platform has permitted a bind to a local port.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Filtering Platform Connection,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Filtering Platform Connection,"auditpol.exe /set /subcategory:""Filtering Platform Connection"" /success:enable",No auditing,No auditing
Process use of network,process network local port bind allow,process,bound _to,port,5158,The Windows Filtering Platform has permitted a bind to a local port.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Filtering Platform Connection,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Filtering Platform Connection,"auditpol.exe /set /subcategory:""Filtering Platform Connection"" /success:enable",No auditing,No auditing
Process use of network,process network local port bind blocked,host,blocked_local_port_bind_on,process,5159,The Windows Filtering Platform has blocked a bind to a local port.,Microsoft-Windows-Security-Auditing,Security,Audit Object Access,Audit Filtering Platform Connection,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policy -> Object Access -> Audit Filtering Platform Connection,"auditpol.exe /set /subcategory:""Filtering Platform Connection"" /success:enable",No auditing,No auditing
Windows event logs,kerberos TGT request,user,requested,ticket granting ticket,4768,A Kerberos authentication ticket (TGT) was requested,Microsoft-Windows-Security-Auditing,Security,Audit Account Logon,Audit Kerberos Authentication Service,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Logon -> Audit Kerberos Authentication Service,"auditpol.exe /set /subcategory:""Kerberos Authentication Service"" /success:enable",No auditing,Success
Windows event logs,kerberos service ticket request,user,requested,service ticket,4769,A Kerberos service ticket was requested,Microsoft-Windows-Security-Auditing,Security,Audit Account Logon,Audit Kerberos Service Ticket Operations,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Logon -> Audit Kerberos Service Ticket Operations,"auditpol.exe /set /subcategory:""Kerberos Service Ticket Operations"" /success:enable",No auditing,Success
Windows event logs,kerberos service ticket renewal,user,renewed,service ticket,4770,A Kerberos service ticket was renewed,Microsoft-Windows-Security-Auditing,Security,Audit Account Logon,Audit Kerberos Service Ticket Operations,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Logon -> Audit Kerberos Service Ticket Operations,"auditpol.exe /set /subcategory:""Kerberos Service Ticket Operations"" /success:enable",No auditing,Success
Windows event logs,kerberos service ticket failure,user,requested,service ticket,4773,A Kerberos service ticket request failed,Microsoft-Windows-Security-Auditing,Security,Audit Account Logon,Audit Kerberos Service Ticket Operations,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Logon -> Audit Kerberos Service Ticket Operations,"auditpol.exe /set /subcategory:""Kerberos Service Ticket Operations"" /success:enable",Success,Success
Windows event logs,user rdp session,user,disconnected_from,host,4779,A session was disconnected from a Window Station,Microsoft-Windows-Security-Auditing,Security,Audit Account Logon,Audit Other Logon/Logoff Events,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Other Logon/Logoff Events,"auditpol.exe /set /subcategory:""Other Logon/Logoff Events"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,user rdp session,user,connected_to,host,4778,A session was reconnected to a Window Station,Microsoft-Windows-Security-Auditing,Security,Audit Account Logon,Audit Other Logon/Logoff Events,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Other Logon/Logoff Events,"auditpol.exe /set /subcategory:""Other Logon/Logoff Events"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,user lock operation,user,locked,host,4800,The workstation was locked,Microsoft-Windows-Security-Auditing,Security,Audit Account Logon,Audit Other Logon/Logoff Events,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Other Logon/Logoff Events,"auditpol.exe /set /subcategory:""Other Logon/Logoff Events"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,user unlock operation,user,unlocked,host,4801,The workstation was unlocked,Microsoft-Windows-Security-Auditing,Security,Audit Account Logon,Audit Other Logon/Logoff Events,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Other Logon/Logoff Events,"auditpol.exe /set /subcategory:""Other Logon/Logoff Events"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,computer account creation,user,created,computer,4741,A computer account was created,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Computer Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Computer Account Management,"auditpol.exe /set /subcategory:""Computer Account Management"" /success:enable /failure:enable",No auditing,Success
Windows event logs,computer account change,user,changed,computer,4742,A computer account was changed,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Computer Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Computer Account Management,"auditpol.exe /set /subcategory:""Computer Account Management"" /success:enable /failure:enable",No auditing,Success
Windows event logs,computer account deletion,user,deleted,computer,4743,A computer account was deleted,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Computer Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Computer Account Management,"auditpol.exe /set /subcategory:""Computer Account Management"" /success:enable /failure:enable",No auditing,Success
Windows event logs,distribution group creation,user,created,group,4749,A security-disabled global group was created,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Distribution Group Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Distribution Group Management,"auditpol.exe /set /subcategory:""Distribution Group Management"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,distribution group change,user,changed,group,4750,A security-disabled global group was changed,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Distribution Group Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Distribution Group Management,"auditpol.exe /set /subcategory:""Distribution Group Management"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,distribution group member addition,user,added,user,4751,A member was added to a security-disabled global group,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Distribution Group Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Distribution Group Management,"auditpol.exe /set /subcategory:""Distribution Group Management"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,distribution group member removal,user,removed,user,4752,A member was removed from a security-disabled global group,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Distribution Group Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Distribution Group Management,"auditpol.exe /set /subcategory:""Distribution Group Management"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,distribution group deletion,user,deleted,group,4753,A security-disabled global group was deleted,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Distribution Group Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Distribution Group Management,"auditpol.exe /set /subcategory:""Distribution Group Management"" /success:enable /failure:enable",No auditing,No auditing
Windows event logs,security group creation,user,created,group,4731,A security-enabled local group was created,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Security Group Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Security Group Management,"auditpol.exe /set /subcategory:""Security Group Management"" /success:enable /failure:enable",Success,Success
Windows event logs,security group member addition,user,added,user,4732,A member was added to a security-enabled local group.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Security Group Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Security Group Management,"auditpol.exe /set /subcategory:""Security Group Management"" /success:enable /failure:enable",Success,Success
Windows event logs,security group member removal,user,removed,user,4733,A member was removed from a security-enabled local group.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Security Group Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Security Group Management,"auditpol.exe /set /subcategory:""Security Group Management"" /success:enable /failure:enable",Success,Success
Windows event logs,security group deletion,user,deleted,group,4734,A security-enabled local group was deleted.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Security Group Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Security Group Management,"auditpol.exe /set /subcategory:""Security Group Management"" /success:enable /failure:enable",Success,Success
Windows event logs,security group change,user,changed,group,4735,A security-enabled local group was changed.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Security Group Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Security Group Management,"auditpol.exe /set /subcategory:""Security Group Management"" /success:enable /failure:enable",Success,Success
Windows event logs,security group type change,user,changed_type,group,4764,A group’s type was changed,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Security Group Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Security Group Management,"auditpol.exe /set /subcategory:""Security Group Management"" /success:enable /failure:enable",Success,Success
Windows event logs,security group enumeration,user,enumerated,group members,4799,A security-enabled local group membership was enumerated,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit Security Group Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Security Group Management,"auditpol.exe /set /subcategory:""Security Group Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account creation,user,created,user,4720,A user account was created.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account enable,user,enabled,user,4722,A user account was enabled.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account password change,user,changed_password,user,4723,An attempt was made to change an account's password.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account password reset,user,reset_password,user,4724,An attempt was made to reset an account's password.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account disable,user,disabled,user,4725,A user account was disabled.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account deletion,user,deleted,user,4726,A user account was deleted.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account change,user,changed,user,4738,A user account was changed.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account lock,user,locked,user,4740,A user account was locked out.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
Windows event logs,user account unlock,user,unlocked,user,4767,A user account was unlocked.,Microsoft-Windows-Security-Auditing,Security,Audit Account Management,Audit User Account Management,"Windows Vista, Windows 2008",Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management,"auditpol.exe /set /subcategory:""User Account Management"" /success:enable /failure:enable",Success,Success
